DataCategory,DataType,Organization,OrganizationIdentifier,ReportIdentifier,ReportUnitIdentifier,ReportUnitName,State,WaDEURLAddress
SUMMARY,REGULATORY,,CODWR,2010,1,South Platte - South Platte - Greeley to Balzac,42,http://www.westernstateswater.org/Colorado
SUMMARY,REGULATORY,,CODWR,2010,10,Arkansas - Fountain Creek,42,http://www.westernstateswater.org/Colorado
SUMMARY,REGULATORY,,CODWR,2010,11,Arkansas - Arkansas - Headwaters to Salida,42,http://www.westernstateswater.org/Colorado
SUMMARY,REGULATORY,,CODWR,2010,12,Arkansas - Arkansas - Salida to Portland,42,http://www.westernstateswater.org/Colorado
SUMMARY,REGULATORY,,CODWR,2010,13,Arkansas - Wet Mountain Valley,42,http://www.westernstateswater.org/Colorado
SUMMARY,REGULATORY,,CODWR,2010,14,Arkansas - Arkansas - Portland to Fowler,42,http://www.westernstateswater.org/Colorado
SUMMARY,REGULATORY,,CODWR,2010,15,Arkansas - Saint Charles,42,http://www.westernstateswater.org/Colorado
SUMMARY,REGULATORY,,CODWR,2010,16,Arkansas - Cucharas River,42,http://www.westernstateswater.org/Colorado
SUMMARY,REGULATORY,,CODWR,2010,17,Arkansas - Arkansas - Fowler to Las Animas,42,http://www.westernstateswater.org/Colorado
SUMMARY,REGULATORY,,CODWR,2010,18,Arkansas - Apishapa River,42,http://www.westernstateswater.org/Colorado
SUMMARY,REGULATORY,,CODWR,2010,19,Arkansas - Purgatoire River,42,http://www.westernstateswater.org/Colorado
SUMMARY,REGULATORY,,CODWR,2010,2,South Platte - South Platte - Denver Gage to Greeley,42,http://www.westernstateswater.org/Colorado
SUMMARY,REGULATORY,,CODWR,2010,20,Rio Grande - Rio Grande,42,http://www.westernstateswater.org/Colorado
SUMMARY,REGULATORY,,CODWR,2010,21,Rio Grande - Alamosa La Jara,42,http://www.westernstateswater.org/Colorado
SUMMARY,REGULATORY,,CODWR,2010,22,Rio Grande - Conejos River,42,http://www.westernstateswater.org/Colorado
SUMMARY,REGULATORY,,CODWR,2010,23,South Platte - Upper South Platte,42,http://www.westernstateswater.org/Colorado
