DataCategory,DataType,HUC,OrganizationIdentifier,ReportIdentifier,ReportUnitIdentifier,ReportUnitName,State,WaDEURLAddress
DETAIL,ALLOCATION,10120107,DENR,2008,10120107,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10150003,DENR,2008,10150003,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10170103,DENR,2009,10170103,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,07020003,DENR,2009,07020003,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10160006,DENR,2013,10160006,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,09020105,DENR,2008,09020105,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120111,DENR,2012,10120111,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10170102,DENR,2007,10170102,Vermillion,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,09020101,DENR,2007,09020101,Bois De Sioux,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10160010,DENR,2013,10160010,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10160007,DENR,2014,10160007,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130306,DENR,2011,10130306,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10160005,DENR,2011,10160005,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10170102,DENR,2015,10170102,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10160008,DENR,2009,10160008,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130105,DENR,2009,10130105,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,09020101,DENR,2015,09020101,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130303,DENR,2012,10130303,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10140204,DENR,2013,10140204,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10140102,DENR,2009,10140102,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10150004,DENR,2011,10150004,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10160009,DENR,2013,10160009,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130305,DENR,2010,10130305,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120203,DENR,2013,10120203,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,09020101,DENR,2017,09020101,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10170102,DENR,2016,10170102,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10110202,DENR,2013,10110202,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130302,DENR,2010,10130302,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10170102,DENR,2017,10170102,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,09020101,DENR,2016,09020101,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130102,DENR,2008,10130102,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10140201,DENR,2010,10140201,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10110201,DENR,2008,10110201,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10160007,DENR,2007,10160007,North Fork Snake,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130205,DENR,2013,10130205,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10170101,DENR,2009,10170101,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10140101,DENR,2009,10140101,,45,http://www.westernstateswater.org/SouthDakota
