CountyFIPS,DataCategory,DataType,HUC,OrganizationIdentifier,ReportIdentifier,ReportUnitIdentifier,ReportUnitName,State,WaDEURLAddress
16043,DETAIL,RETURN,170402030403,IDWR,2012,21,,56,http://www.westernstateswater.org/Idaho
16065,DETAIL,RETURN,170402030405,IDWR,2012,21,,56,http://www.westernstateswater.org/Idaho
16065,DETAIL,RETURN,170402030506,IDWR,2012,21,,56,http://www.westernstateswater.org/Idaho
16065,DETAIL,RETURN,170402030406,IDWR,2012,22,,56,http://www.westernstateswater.org/Idaho
16065,DETAIL,RETURN,170402030505,IDWR,2012,22,,56,http://www.westernstateswater.org/Idaho
16019,DETAIL,RETURN,170402010503,IDWR,2012,25,,56,http://www.westernstateswater.org/Idaho
16051,DETAIL,RETURN,170402010302,IDWR,2012,25,,56,http://www.westernstateswater.org/Idaho
16051,DETAIL,RETURN,170402010501,IDWR,2012,25,,56,http://www.westernstateswater.org/Idaho
16051,DETAIL,RETURN,170402010502,IDWR,2012,25,,56,http://www.westernstateswater.org/Idaho
16011,DETAIL,RETURN,170402060301,IDWR,2012,27,,56,http://www.westernstateswater.org/Idaho
16011,DETAIL,RETURN,170402060305,IDWR,2012,27,,56,http://www.westernstateswater.org/Idaho
16011,DETAIL,RETURN,170402080606,IDWR,2012,27,,56,http://www.westernstateswater.org/Idaho
16005,DETAIL,RETURN,170402080507,IDWR,2012,29,,56,http://www.westernstateswater.org/Idaho
16077,DETAIL,RETURN,170402060903,IDWR,2012,29,,56,http://www.westernstateswater.org/Idaho
16077,DETAIL,RETURN,170402060905,IDWR,2012,29,,56,http://www.westernstateswater.org/Idaho
16037,DETAIL,RETURN,170402180701,IDWR,2012,34,,56,http://www.westernstateswater.org/Idaho
16011,DETAIL,RETURN,170402060107,IDWR,2012,35,,56,http://www.westernstateswater.org/Idaho
16011,DETAIL,RETURN,170402060209,IDWR,2012,35,,56,http://www.westernstateswater.org/Idaho
16011,DETAIL,RETURN,170402060305,IDWR,2012,35,,56,http://www.westernstateswater.org/Idaho
16011,DETAIL,RETURN,170402060505,IDWR,2012,35,,56,http://www.westernstateswater.org/Idaho
16011,DETAIL,RETURN,170402060603,IDWR,2012,35,,56,http://www.westernstateswater.org/Idaho
16011,DETAIL,RETURN,170402060704,IDWR,2012,35,,56,http://www.westernstateswater.org/Idaho
16011,DETAIL,RETURN,170402061002,IDWR,2012,35,,56,http://www.westernstateswater.org/Idaho
16011,DETAIL,RETURN,170402061004,IDWR,2012,35,,56,http://www.westernstateswater.org/Idaho
16019,DETAIL,RETURN,170402060107,IDWR,2012,35,,56,http://www.westernstateswater.org/Idaho
16051,DETAIL,RETURN,170402010502,IDWR,2012,35,,56,http://www.westernstateswater.org/Idaho
16077,DETAIL,RETURN,170402061009,IDWR,2012,35,,56,http://www.westernstateswater.org/Idaho
16047,DETAIL,RETURN,170402120704,IDWR,2012,36,,56,http://www.westernstateswater.org/Idaho
16047,DETAIL,RETURN,170402121004,IDWR,2012,36,,56,http://www.westernstateswater.org/Idaho
16047,DETAIL,RETURN,170402121006,IDWR,2012,36,,56,http://www.westernstateswater.org/Idaho
16047,DETAIL,RETURN,170402121101,IDWR,2012,36,,56,http://www.westernstateswater.org/Idaho
16047,DETAIL,RETURN,170402121102,IDWR,2012,36,,56,http://www.westernstateswater.org/Idaho
16053,DETAIL,RETURN,170402120106,IDWR,2012,36,,56,http://www.westernstateswater.org/Idaho
16053,DETAIL,RETURN,170402120403,IDWR,2012,36,,56,http://www.westernstateswater.org/Idaho
16053,DETAIL,RETURN,170402120502,IDWR,2012,36,,56,http://www.westernstateswater.org/Idaho
16053,DETAIL,RETURN,170402120503,IDWR,2012,36,,56,http://www.westernstateswater.org/Idaho
16053,DETAIL,RETURN,170402120704,IDWR,2012,36,,56,http://www.westernstateswater.org/Idaho
16067,DETAIL,RETURN,170402091203,IDWR,2012,36,,56,http://www.westernstateswater.org/Idaho
16067,DETAIL,RETURN,170402091207,IDWR,2012,36,,56,http://www.westernstateswater.org/Idaho
16067,DETAIL,RETURN,170402091208,IDWR,2012,36,,56,http://www.westernstateswater.org/Idaho
16067,DETAIL,RETURN,170402091302,IDWR,2012,36,,56,http://www.westernstateswater.org/Idaho
16067,DETAIL,RETURN,170402091304,IDWR,2012,36,,56,http://www.westernstateswater.org/Idaho
16067,DETAIL,RETURN,170402091306,IDWR,2012,36,,56,http://www.westernstateswater.org/Idaho
16067,DETAIL,RETURN,170402091307,IDWR,2012,36,,56,http://www.westernstateswater.org/Idaho
16047,DETAIL,RETURN,170402121306,IDWR,2012,37,,56,http://www.westernstateswater.org/Idaho
16047,DETAIL,RETURN,170402190906,IDWR,2012,37,,56,http://www.westernstateswater.org/Idaho
16077,DETAIL,RETURN,170402090109,IDWR,2012,41,,56,http://www.westernstateswater.org/Idaho
16031,DETAIL,RETURN,170000000000,IDWR,2012,45,,56,http://www.westernstateswater.org/Idaho
16031,DETAIL,RETURN,170402091306,IDWR,2012,45,,56,http://www.westernstateswater.org/Idaho
16031,DETAIL,RETURN,170402091307,IDWR,2012,45,,56,http://www.westernstateswater.org/Idaho
16083,DETAIL,RETURN,170402120403,IDWR,2012,47,,56,http://www.westernstateswater.org/Idaho
16083,DETAIL,RETURN,170402120502,IDWR,2012,47,,56,http://www.westernstateswater.org/Idaho
16083,DETAIL,RETURN,170402120608,IDWR,2012,47,,56,http://www.westernstateswater.org/Idaho
16083,DETAIL,RETURN,170402120703,IDWR,2012,47,,56,http://www.westernstateswater.org/Idaho
16083,DETAIL,RETURN,170402120704,IDWR,2012,47,,56,http://www.westernstateswater.org/Idaho
16083,DETAIL,RETURN,170402120904,IDWR,2012,47,,56,http://www.westernstateswater.org/Idaho
16083,DETAIL,RETURN,170402120905,IDWR,2012,47,,56,http://www.westernstateswater.org/Idaho
16083,DETAIL,RETURN,170402121005,IDWR,2012,47,,56,http://www.westernstateswater.org/Idaho
16083,DETAIL,RETURN,170402121006,IDWR,2012,47,,56,http://www.westernstateswater.org/Idaho
16083,DETAIL,RETURN,170402130906,IDWR,2012,47,,56,http://www.westernstateswater.org/Idaho
16073,DETAIL,RETURN,170501011108,IDWR,2012,57,,56,http://www.westernstateswater.org/Idaho
16073,DETAIL,RETURN,170501030201,IDWR,2012,57,,56,http://www.westernstateswater.org/Idaho
16073,DETAIL,RETURN,170501031003,IDWR,2012,57,,56,http://www.westernstateswater.org/Idaho
16073,DETAIL,RETURN,170501031004,IDWR,2012,57,,56,http://www.westernstateswater.org/Idaho
16001,DETAIL,RETURN,170501140404,IDWR,2012,63,,56,http://www.westernstateswater.org/Idaho
16027,DETAIL,RETURN,170501030507,IDWR,2012,63,,56,http://www.westernstateswater.org/Idaho
16027,DETAIL,RETURN,170501031004,IDWR,2012,63,,56,http://www.westernstateswater.org/Idaho
16027,DETAIL,RETURN,170501031005,IDWR,2012,63,,56,http://www.westernstateswater.org/Idaho
16027,DETAIL,RETURN,170501031103,IDWR,2012,63,,56,http://www.westernstateswater.org/Idaho
16027,DETAIL,RETURN,170501140409,IDWR,2012,63,,56,http://www.westernstateswater.org/Idaho
16027,DETAIL,RETURN,170501140410,IDWR,2012,63,,56,http://www.westernstateswater.org/Idaho
16027,DETAIL,RETURN,170501140507,IDWR,2012,63,,56,http://www.westernstateswater.org/Idaho
16027,DETAIL,RETURN,170501140802,IDWR,2012,63,,56,http://www.westernstateswater.org/Idaho
41045,DETAIL,RETURN,170501031102,IDWR,2012,63,,56,http://www.westernstateswater.org/Idaho
16003,DETAIL,RETURN,170501240204,IDWR,2012,67,,56,http://www.westernstateswater.org/Idaho
16021,DETAIL,RETURN,170101040711,IDWR,2012,98,,56,http://www.westernstateswater.org/Idaho
16019,DETAIL,DIVERSION,170402060301,IDWR,2015,1,,56,http://www.westernstateswater.org/Idaho
16051,DETAIL,DIVERSION,170402010302,IDWR,2015,1,,56,http://www.westernstateswater.org/Idaho
16077,DETAIL,DIVERSION,170402090303,IDWR,2015,1,,56,http://www.westernstateswater.org/Idaho
16029,DETAIL,DIVERSION,160102020202,IDWR,2015,13,,56,http://www.westernstateswater.org/Idaho
16029,DETAIL,DIVERSION,170402080204,IDWR,2015,13,,56,http://www.westernstateswater.org/Idaho
16039,DETAIL,DIVERSION,170501010306,IDWR,2015,2,,56,http://www.westernstateswater.org/Idaho
16047,DETAIL,DIVERSION,170402121006,IDWR,2015,2,,56,http://www.westernstateswater.org/Idaho
16047,DETAIL,DIVERSION,170402121105,IDWR,2015,2,,56,http://www.westernstateswater.org/Idaho
16047,DETAIL,DIVERSION,170402190906,IDWR,2015,2,,56,http://www.westernstateswater.org/Idaho
16073,DETAIL,DIVERSION,170501010806,IDWR,2015,2,,56,http://www.westernstateswater.org/Idaho
16073,DETAIL,DIVERSION,170501011108,IDWR,2015,2,,56,http://www.westernstateswater.org/Idaho
16043,DETAIL,DIVERSION,170402030403,IDWR,2015,21,,56,http://www.westernstateswater.org/Idaho
16043,DETAIL,DIVERSION,170402030404,IDWR,2015,21,,56,http://www.westernstateswater.org/Idaho
16043,DETAIL,DIVERSION,170402030405,IDWR,2015,21,,56,http://www.westernstateswater.org/Idaho
16043,DETAIL,DIVERSION,170402030500,IDWR,2015,21,,56,http://www.westernstateswater.org/Idaho
16043,DETAIL,DIVERSION,170402030504,IDWR,2015,21,,56,http://www.westernstateswater.org/Idaho
16051,DETAIL,DIVERSION,170402010200,IDWR,2015,21,,56,http://www.westernstateswater.org/Idaho
16065,DETAIL,DIVERSION,170402010200,IDWR,2015,21,,56,http://www.westernstateswater.org/Idaho
16065,DETAIL,DIVERSION,170402030405,IDWR,2015,21,,56,http://www.westernstateswater.org/Idaho
16043,DETAIL,DIVERSION,170402030404,IDWR,2015,22,,56,http://www.westernstateswater.org/Idaho
16043,DETAIL,DIVERSION,170402040801,IDWR,2015,22,,56,http://www.westernstateswater.org/Idaho
16043,DETAIL,DIVERSION,170402040802,IDWR,2015,22,,56,http://www.westernstateswater.org/Idaho
16065,DETAIL,DIVERSION,170402010102,IDWR,2015,22,,56,http://www.westernstateswater.org/Idaho
16065,DETAIL,DIVERSION,170402030405,IDWR,2015,22,,56,http://www.westernstateswater.org/Idaho
