CountyFIPS,DataCategory,DataType,OrganizationIdentifier,ReportIdentifier,ReportUnitIdentifier,State,WaDEURLAddress
20001,DETAIL,ALLOCATION,KDA-DWR,2015,20001,39,http://wade.kda.ks.gov
20003,DETAIL,ALLOCATION,KDA-DWR,2015,20003,39,http://wade.kda.ks.gov
20005,DETAIL,ALLOCATION,KDA-DWR,2015,20005,39,http://wade.kda.ks.gov
20007,DETAIL,ALLOCATION,KDA-DWR,2015,20007,39,http://wade.kda.ks.gov
20009,DETAIL,ALLOCATION,KDA-DWR,2015,20009,39,http://wade.kda.ks.gov
20011,DETAIL,ALLOCATION,KDA-DWR,2015,20011,39,http://wade.kda.ks.gov
20013,DETAIL,ALLOCATION,KDA-DWR,2015,20013,39,http://wade.kda.ks.gov
20015,DETAIL,ALLOCATION,KDA-DWR,2015,20015,39,http://wade.kda.ks.gov
20017,DETAIL,ALLOCATION,KDA-DWR,2015,20017,39,http://wade.kda.ks.gov
20019,DETAIL,ALLOCATION,KDA-DWR,2015,20019,39,http://wade.kda.ks.gov
20021,DETAIL,ALLOCATION,KDA-DWR,2015,20021,39,http://wade.kda.ks.gov
20023,DETAIL,ALLOCATION,KDA-DWR,2015,20023,39,http://wade.kda.ks.gov
20025,DETAIL,ALLOCATION,KDA-DWR,2015,20025,39,http://wade.kda.ks.gov
20027,DETAIL,ALLOCATION,KDA-DWR,2015,20027,39,http://wade.kda.ks.gov
20029,DETAIL,ALLOCATION,KDA-DWR,2015,20029,39,http://wade.kda.ks.gov
20031,DETAIL,ALLOCATION,KDA-DWR,2015,20031,39,http://wade.kda.ks.gov
20033,DETAIL,ALLOCATION,KDA-DWR,2015,20033,39,http://wade.kda.ks.gov
20035,DETAIL,ALLOCATION,KDA-DWR,2015,20035,39,http://wade.kda.ks.gov
20037,DETAIL,ALLOCATION,KDA-DWR,2015,20037,39,http://wade.kda.ks.gov
20039,DETAIL,ALLOCATION,KDA-DWR,2015,20039,39,http://wade.kda.ks.gov
20041,DETAIL,ALLOCATION,KDA-DWR,2015,20041,39,http://wade.kda.ks.gov
20043,DETAIL,ALLOCATION,KDA-DWR,2015,20043,39,http://wade.kda.ks.gov
20045,DETAIL,ALLOCATION,KDA-DWR,2015,20045,39,http://wade.kda.ks.gov
20047,DETAIL,ALLOCATION,KDA-DWR,2015,20047,39,http://wade.kda.ks.gov
20049,DETAIL,ALLOCATION,KDA-DWR,2015,20049,39,http://wade.kda.ks.gov
20051,DETAIL,ALLOCATION,KDA-DWR,2015,20051,39,http://wade.kda.ks.gov
20053,DETAIL,ALLOCATION,KDA-DWR,2015,20053,39,http://wade.kda.ks.gov
20055,DETAIL,ALLOCATION,KDA-DWR,2015,20055,39,http://wade.kda.ks.gov
20057,DETAIL,ALLOCATION,KDA-DWR,2015,20057,39,http://wade.kda.ks.gov
20059,DETAIL,ALLOCATION,KDA-DWR,2015,20059,39,http://wade.kda.ks.gov
20061,DETAIL,ALLOCATION,KDA-DWR,2015,20061,39,http://wade.kda.ks.gov
20063,DETAIL,ALLOCATION,KDA-DWR,2015,20063,39,http://wade.kda.ks.gov
20065,DETAIL,ALLOCATION,KDA-DWR,2015,20065,39,http://wade.kda.ks.gov
