CountyFIPS,DataCategory,DataType,HUC,OrganizationIdentifier,ReportIdentifier,ReportUnitIdentifier,State,WaDEURLAddress
,DETAIL,ALLOCATION,,NDWR,2017,001 ,53,http://wade.water.nv.gov
,DETAIL,ALLOCATION,,NDWR,2017,002 ,53,http://wade.water.nv.gov
,DETAIL,ALLOCATION,,NDWR,2017,003 ,53,http://wade.water.nv.gov
,DETAIL,ALLOCATION,,NDWR,2017,004 ,53,http://wade.water.nv.gov
,DETAIL,ALLOCATION,,NDWR,2017,006 ,53,http://wade.water.nv.gov
,DETAIL,ALLOCATION,,NDWR,2017,007 ,53,http://wade.water.nv.gov
,DETAIL,ALLOCATION,,NDWR,2017,008 ,53,http://wade.water.nv.gov
,DETAIL,ALLOCATION,,NDWR,2017,009 ,53,http://wade.water.nv.gov
,DETAIL,ALLOCATION,,NDWR,2017,010 ,53,http://wade.water.nv.gov
,DETAIL,ALLOCATION,,NDWR,2017,011 ,53,http://wade.water.nv.gov
,DETAIL,ALLOCATION,,NDWR,2017,012 ,53,http://wade.water.nv.gov
,DETAIL,ALLOCATION,,NDWR,2017,013 ,53,http://wade.water.nv.gov
,DETAIL,ALLOCATION,,NDWR,2017,014 ,53,http://wade.water.nv.gov
,DETAIL,ALLOCATION,,NDWR,2017,015 ,53,http://wade.water.nv.gov
,DETAIL,ALLOCATION,,NDWR,2017,016 ,53,http://wade.water.nv.gov
,DETAIL,ALLOCATION,,NDWR,2017,017 ,53,http://wade.water.nv.gov
,DETAIL,ALLOCATION,,NDWR,2017,018 ,53,http://wade.water.nv.gov
,DETAIL,ALLOCATION,,NDWR,2017,019 ,53,http://wade.water.nv.gov
,DETAIL,ALLOCATION,,NDWR,2017,021 ,53,http://wade.water.nv.gov
,DETAIL,ALLOCATION,,NDWR,2017,022 ,53,http://wade.water.nv.gov
,DETAIL,ALLOCATION,,NDWR,2017,023 ,53,http://wade.water.nv.gov
,DETAIL,ALLOCATION,,NDWR,2017,024 ,53,http://wade.water.nv.gov
,DETAIL,ALLOCATION,,NDWR,2017,025 ,53,http://wade.water.nv.gov
,DETAIL,ALLOCATION,,NDWR,2017,026 ,53,http://wade.water.nv.gov
,DETAIL,ALLOCATION,,NDWR,2017,027 ,53,http://wade.water.nv.gov
,DETAIL,ALLOCATION,,NDWR,2017,028 ,53,http://wade.water.nv.gov
,DETAIL,ALLOCATION,,NDWR,2017,029 ,53,http://wade.water.nv.gov
,DETAIL,ALLOCATION,,NDWR,2017,030A,53,http://wade.water.nv.gov
,DETAIL,ALLOCATION,,NDWR,2017,030B,53,http://wade.water.nv.gov
,DETAIL,ALLOCATION,,NDWR,2017,031 ,53,http://wade.water.nv.gov
,DETAIL,ALLOCATION,,NDWR,2017,032 ,53,http://wade.water.nv.gov
,DETAIL,ALLOCATION,,NDWR,2017,033A,53,http://wade.water.nv.gov
,DETAIL,ALLOCATION,,NDWR,2017,033B,53,http://wade.water.nv.gov
,DETAIL,ALLOCATION,,NDWR,2017,034 ,53,http://wade.water.nv.gov
,DETAIL,ALLOCATION,,NDWR,2017,035 ,53,http://wade.water.nv.gov
,DETAIL,ALLOCATION,,NDWR,2017,036 ,53,http://wade.water.nv.gov
,DETAIL,ALLOCATION,,NDWR,2017,037 ,53,http://wade.water.nv.gov
,DETAIL,ALLOCATION,,NDWR,2017,038 ,53,http://wade.water.nv.gov
,DETAIL,ALLOCATION,,NDWR,2017,039 ,53,http://wade.water.nv.gov
,DETAIL,ALLOCATION,,NDWR,2017,040 ,53,http://wade.water.nv.gov
,DETAIL,ALLOCATION,,NDWR,2017,041 ,53,http://wade.water.nv.gov
,DETAIL,ALLOCATION,,NDWR,2017,042 ,53,http://wade.water.nv.gov
,DETAIL,ALLOCATION,,NDWR,2017,043 ,53,http://wade.water.nv.gov
,DETAIL,ALLOCATION,,NDWR,2017,044 ,53,http://wade.water.nv.gov
,DETAIL,ALLOCATION,,NDWR,2017,045 ,53,http://wade.water.nv.gov
,DETAIL,ALLOCATION,,NDWR,2017,046 ,53,http://wade.water.nv.gov
,DETAIL,ALLOCATION,,NDWR,2017,047 ,53,http://wade.water.nv.gov
,DETAIL,ALLOCATION,,NDWR,2017,048 ,53,http://wade.water.nv.gov
,DETAIL,ALLOCATION,,NDWR,2017,049 ,53,http://wade.water.nv.gov
,DETAIL,ALLOCATION,,NDWR,2017,050 ,53,http://wade.water.nv.gov
,DETAIL,ALLOCATION,,NDWR,2017,051 ,53,http://wade.water.nv.gov
,DETAIL,ALLOCATION,,NDWR,2017,052 ,53,http://wade.water.nv.gov
,DETAIL,ALLOCATION,,NDWR,2017,053 ,53,http://wade.water.nv.gov
,DETAIL,ALLOCATION,,NDWR,2017,054 ,53,http://wade.water.nv.gov
,DETAIL,ALLOCATION,,NDWR,2017,055 ,53,http://wade.water.nv.gov
,DETAIL,ALLOCATION,,NDWR,2017,056 ,53,http://wade.water.nv.gov
,DETAIL,ALLOCATION,,NDWR,2017,057 ,53,http://wade.water.nv.gov
,DETAIL,ALLOCATION,,NDWR,2017,058 ,53,http://wade.water.nv.gov
