CountFIPS,DataCategory,DataType,Organization,OrganizationIdentifier,ReportIdentifier,ReportUnitIdentifier,ReportUnitName,State,WaDEURLAddress
,SUMMARY,USE,,NMOSE,1995,AWR,Arkansas-White-Red Region,35,http://www.westernstateswater.org/NewMexico
35033,SUMMARY,USE,,NMOSE,1990,35033,Mora,35,http://www.westernstateswater.org/NewMexico
35033,SUMMARY,USE,,NMOSE,2000,35033,Mora,35,http://www.westernstateswater.org/NewMexico
35028,SUMMARY,USE,,NMOSE,2010,35028,Los Alamos,35,http://www.westernstateswater.org/NewMexico
35003,SUMMARY,USE,,NMOSE,2000,35003,Catron,35,http://www.westernstateswater.org/NewMexico
35029,SUMMARY,USE,,NMOSE,2000,35029,Luna,35,http://www.westernstateswater.org/NewMexico
35003,SUMMARY,USE,,NMOSE,1990,35003,Catron,35,http://www.westernstateswater.org/NewMexico
35029,SUMMARY,USE,,NMOSE,1990,35029,Luna,35,http://www.westernstateswater.org/NewMexico
35015,SUMMARY,USE,,NMOSE,1995,35015,Eddy,35,http://www.westernstateswater.org/NewMexico
35019,SUMMARY,USE,,NMOSE,1995,35019,Guadalupe,35,http://www.westernstateswater.org/NewMexico
35027,SUMMARY,USE,,NMOSE,2000,35027,Lincoln,35,http://www.westernstateswater.org/NewMexico
35027,SUMMARY,USE,,NMOSE,1990,35027,Lincoln,35,http://www.westernstateswater.org/NewMexico
35013,SUMMARY,USE,,NMOSE,2005,35013,Dona Ana,35,http://www.westernstateswater.org/NewMexico
,SUMMARY,USE,,NMOSE,2010,LC,Lower Colorado Region,35,http://www.westernstateswater.org/NewMexico
35007,SUMMARY,USE,,NMOSE,2005,35007,Colfax,35,http://www.westernstateswater.org/NewMexico
,SUMMARY,USE,,NMOSE,1995,P,Pecos Region,35,http://www.westernstateswater.org/NewMexico
35041,SUMMARY,USE,,NMOSE,1995,35041,Roosevelt,35,http://www.westernstateswater.org/NewMexico
35031,SUMMARY,USE,,NMOSE,1995,35031,McKinley,35,http://www.westernstateswater.org/NewMexico
35043,SUMMARY,USE,,NMOSE,2005,35043,Sandoval,35,http://www.westernstateswater.org/NewMexico
