CountFIPS,DataCategory,DataType,HUC,OrganizationIdentifier,ReportIdentifier,ReportUnitIdentifier,ReportUnitName,State,WaDEURLAddress
31089,DETAIL,ALLOCATION,101500070602,NeDNR,2016,9,NIOBRARA,41,http://www.westernstateswater.org/Nebraska
31019,DETAIL,ALLOCATION,102001020401,NeDNR,2016,5,LOUP,41,http://www.westernstateswater.org/Nebraska
31061,DETAIL,ALLOCATION,102500160404,NeDNR,2016,11,REPUBLICAN,41,http://www.westernstateswater.org/Nebraska
31153,DETAIL,ALLOCATION,102002020105,NeDNR,2016,2,ELKHORN,41,http://www.westernstateswater.org/Nebraska
31025,DETAIL,ALLOCATION,102002031005,NeDNR,2016,6,LOWER PLATTE,41,http://www.westernstateswater.org/Nebraska
31023,DETAIL,ALLOCATION,102002010303,NeDNR,2016,1,BIG BLUE,41,http://www.westernstateswater.org/Nebraska
31161,DETAIL,ALLOCATION,101500031204,NeDNR,2016,9,NIOBRARA,41,http://www.westernstateswater.org/Nebraska
31137,DETAIL,ALLOCATION,102500160301,NeDNR,2016,11,REPUBLICAN,41,http://www.westernstateswater.org/Nebraska
31001,DETAIL,ALLOCATION,102702060404,NeDNR,2016,3,LITTLE BLUE,41,http://www.westernstateswater.org/Nebraska
31185,DETAIL,ALLOCATION,102702010301,NeDNR,2016,1,BIG BLUE,41,http://www.westernstateswater.org/Nebraska
31061,DETAIL,ALLOCATION,102500160310,NeDNR,2016,11,REPUBLICAN,41,http://www.westernstateswater.org/Nebraska
31045,DETAIL,ALLOCATION,101402010501,NeDNR,2016,9,NIOBRARA,41,http://www.westernstateswater.org/Nebraska
31023,DETAIL,ALLOCATION,102702020101,NeDNR,2016,1,BIG BLUE,41,http://www.westernstateswater.org/Nebraska
31015,DETAIL,ALLOCATION,101500041512,NeDNR,2016,9,NIOBRARA,41,http://www.westernstateswater.org/Nebraska
31163,DETAIL,ALLOCATION,102100030602,NeDNR,2016,5,LOUP,41,http://www.westernstateswater.org/Nebraska
31169,DETAIL,ALLOCATION,102702060805,NeDNR,2016,3,LITTLE BLUE,41,http://www.westernstateswater.org/Nebraska
31159,DETAIL,ALLOCATION,102702020101,NeDNR,2016,1,BIG BLUE,41,http://www.westernstateswater.org/Nebraska
31045,DETAIL,ALLOCATION,101402010206,NeDNR,2016,12,WHITE HAT,41,http://www.westernstateswater.org/Nebraska
31129,DETAIL,ALLOCATION,102702060506,NeDNR,2016,3,LITTLE BLUE,41,http://www.westernstateswater.org/Nebraska
31067,DETAIL,ALLOCATION,102702020405,NeDNR,2016,1,BIG BLUE,41,http://www.westernstateswater.org/Nebraska
31081,DETAIL,ALLOCATION,102702030307,NeDNR,2016,1,BIG BLUE,41,http://www.westernstateswater.org/Nebraska
31179,DETAIL,ALLOCATION,102200030302,NeDNR,2016,2,ELKHORN,41,http://www.westernstateswater.org/Nebraska
31149,DETAIL,ALLOCATION,101500041309,NeDNR,2016,9,NIOBRARA,41,http://www.westernstateswater.org/Nebraska
31111,DETAIL,ALLOCATION,102500080206,NeDNR,2016,11,REPUBLICAN,41,http://www.westernstateswater.org/Nebraska
31063,DETAIL,ALLOCATION,102500080501,NeDNR,2016,11,REPUBLICAN,41,http://www.westernstateswater.org/Nebraska
31147,DETAIL,ALLOCATION,102400070304,NeDNR,2016,8,NEMAHA,41,http://www.westernstateswater.org/Nebraska
31169,DETAIL,ALLOCATION,102702070103,NeDNR,2016,3,LITTLE BLUE,41,http://www.westernstateswater.org/Nebraska
31111,DETAIL,ALLOCATION,101800140808,NeDNR,2016,10,PLATTE,41,http://www.westernstateswater.org/Nebraska
31173,DETAIL,ALLOCATION,102300010104,NeDNR,2016,7,MISSOURI TRIBUTARIES,41,http://www.westernstateswater.org/Nebraska
31093,DETAIL,ALLOCATION,102100070701,NeDNR,2016,5,LOUP,41,http://www.westernstateswater.org/Nebraska
31149,DETAIL,ALLOCATION,101500041505,NeDNR,2016,2,ELKHORN,41,http://www.westernstateswater.org/Nebraska
31137,DETAIL,ALLOCATION,102500090701,NeDNR,2016,11,REPUBLICAN,41,http://www.westernstateswater.org/Nebraska
31031,DETAIL,ALLOCATION,101500040608,NeDNR,2016,9,NIOBRARA,41,http://www.westernstateswater.org/Nebraska
31089,DETAIL,ALLOCATION,101500070503,NeDNR,2016,7,MISSOURI TRIBUTARIES,41,http://www.westernstateswater.org/Nebraska
31131,DETAIL,ALLOCATION,102400010307,NeDNR,2016,7,MISSOURI TRIBUTARIES,41,http://www.westernstateswater.org/Nebraska
31151,DETAIL,ALLOCATION,102702040309,NeDNR,2016,1,BIG BLUE,41,http://www.westernstateswater.org/Nebraska
31059,DETAIL,ALLOCATION,102702030504,NeDNR,2016,1,BIG BLUE,41,http://www.westernstateswater.org/Nebraska
31015,DETAIL,ALLOCATION,101500010303,NeDNR,2016,7,MISSOURI TRIBUTARIES,41,http://www.westernstateswater.org/Nebraska
31083,DETAIL,ALLOCATION,102500160102,NeDNR,2016,11,REPUBLICAN,41,http://www.westernstateswater.org/Nebraska
31167,DETAIL,ALLOCATION,102200030201,NeDNR,2016,2,ELKHORN,41,http://www.westernstateswater.org/Nebraska
31181,DETAIL,ALLOCATION,102500160501,NeDNR,2016,11,REPUBLICAN,41,http://www.westernstateswater.org/Nebraska
31185,DETAIL,ALLOCATION,102702030503,NeDNR,2016,1,BIG BLUE,41,http://www.westernstateswater.org/Nebraska
31003,DETAIL,ALLOCATION,101500070803,NeDNR,2016,7,MISSOURI TRIBUTARIES,41,http://www.westernstateswater.org/Nebraska
31085,DETAIL,ALLOCATION,102500050406,NeDNR,2016,11,REPUBLICAN,41,http://www.westernstateswater.org/Nebraska
