CountyFIPS,DataCategory,DataType,HUC,OrganizationIdentifier,ReportIdentifier,ReportUnitIdentifier,State,WaDEURLAddress
41025,DETAIL,ALLOCATION,16040201,OREGON-WRD,2015,16040201,57,http://wade.wrd.state.or.us
41045,DETAIL,ALLOCATION,16040201,OREGON-WRD,2015,16040201,57,http://wade.wrd.state.or.us
41025,DETAIL,ALLOCATION,16040205,OREGON-WRD,2015,16040205,57,http://wade.wrd.state.or.us
41045,DETAIL,ALLOCATION,17050103,OREGON-WRD,2015,17050103,57,http://wade.wrd.state.or.us
41045,DETAIL,ALLOCATION,17050105,OREGON-WRD,2015,17050105,57,http://wade.wrd.state.or.us
41045,DETAIL,ALLOCATION,17050106,OREGON-WRD,2015,17050106,57,http://wade.wrd.state.or.us
41011,DETAIL,ALLOCATION,17050107,OREGON-WRD,2015,17050107,57,http://wade.wrd.state.or.us
41013,DETAIL,ALLOCATION,17050107,OREGON-WRD,2015,17050107,57,http://wade.wrd.state.or.us
41025,DETAIL,ALLOCATION,17050107,OREGON-WRD,2015,17050107,57,http://wade.wrd.state.or.us
41045,DETAIL,ALLOCATION,17050107,OREGON-WRD,2015,17050107,57,http://wade.wrd.state.or.us
41019,DETAIL,ALLOCATION,17050108,OREGON-WRD,2015,17050108,57,http://wade.wrd.state.or.us
41045,DETAIL,ALLOCATION,17050108,OREGON-WRD,2015,17050108,57,http://wade.wrd.state.or.us
41065,DETAIL,ALLOCATION,17050108,OREGON-WRD,2015,17050108,57,http://wade.wrd.state.or.us
41025,DETAIL,ALLOCATION,17050109,OREGON-WRD,2015,17050109,57,http://wade.wrd.state.or.us
41045,DETAIL,ALLOCATION,17050109,OREGON-WRD,2015,17050109,57,http://wade.wrd.state.or.us
41045,DETAIL,ALLOCATION,17050110,OREGON-WRD,2015,17050110,57,http://wade.wrd.state.or.us
41019,DETAIL,ALLOCATION,17050115,OREGON-WRD,2015,17050115,57,http://wade.wrd.state.or.us
41021,DETAIL,ALLOCATION,17050115,OREGON-WRD,2015,17050115,57,http://wade.wrd.state.or.us
41045,DETAIL,ALLOCATION,17050115,OREGON-WRD,2015,17050115,57,http://wade.wrd.state.or.us
41053,DETAIL,ALLOCATION,17050115,OREGON-WRD,2015,17050115,57,http://wade.wrd.state.or.us
41001,DETAIL,ALLOCATION,17050116,OREGON-WRD,2015,17050116,57,http://wade.wrd.state.or.us
41023,DETAIL,ALLOCATION,17050116,OREGON-WRD,2015,17050116,57,http://wade.wrd.state.or.us
41025,DETAIL,ALLOCATION,17050116,OREGON-WRD,2015,17050116,57,http://wade.wrd.state.or.us
41045,DETAIL,ALLOCATION,17050116,OREGON-WRD,2015,17050116,57,http://wade.wrd.state.or.us
41045,DETAIL,ALLOCATION,17050117,OREGON-WRD,2015,17050117,57,http://wade.wrd.state.or.us
41045,DETAIL,ALLOCATION,17050118,OREGON-WRD,2015,17050118,57,http://wade.wrd.state.or.us
41001,DETAIL,ALLOCATION,17050119,OREGON-WRD,2015,17050119,57,http://wade.wrd.state.or.us
41045,DETAIL,ALLOCATION,17050119,OREGON-WRD,2015,17050119,57,http://wade.wrd.state.or.us
41001,DETAIL,ALLOCATION,17050201,OREGON-WRD,2015,17050201,57,http://wade.wrd.state.or.us
41045,DETAIL,ALLOCATION,17050201,OREGON-WRD,2015,17050201,57,http://wade.wrd.state.or.us
41063,DETAIL,ALLOCATION,17050201,OREGON-WRD,2015,17050201,57,http://wade.wrd.state.or.us
41001,DETAIL,ALLOCATION,17050202,OREGON-WRD,2015,17050202,57,http://wade.wrd.state.or.us
41045,DETAIL,ALLOCATION,17050202,OREGON-WRD,2015,17050202,57,http://wade.wrd.state.or.us
41001,DETAIL,ALLOCATION,17050203,OREGON-WRD,2015,17050203,57,http://wade.wrd.state.or.us
41061,DETAIL,ALLOCATION,17050203,OREGON-WRD,2015,17050203,57,http://wade.wrd.state.or.us
41063,DETAIL,ALLOCATION,17060101,OREGON-WRD,2015,17060101,57,http://wade.wrd.state.or.us
41001,DETAIL,ALLOCATION,17060102,OREGON-WRD,2015,17060102,57,http://wade.wrd.state.or.us
41063,DETAIL,ALLOCATION,17060102,OREGON-WRD,2015,17060102,57,http://wade.wrd.state.or.us
41063,DETAIL,ALLOCATION,17060103,OREGON-WRD,2015,17060103,57,http://wade.wrd.state.or.us
41059,DETAIL,ALLOCATION,17060104,OREGON-WRD,2015,17060104,57,http://wade.wrd.state.or.us
41061,DETAIL,ALLOCATION,17060104,OREGON-WRD,2015,17060104,57,http://wade.wrd.state.or.us
41061,DETAIL,ALLOCATION,17060105,OREGON-WRD,2015,17060105,57,http://wade.wrd.state.or.us
41063,DETAIL,ALLOCATION,17060105,OREGON-WRD,2015,17060105,57,http://wade.wrd.state.or.us
41061,DETAIL,ALLOCATION,17060106,OREGON-WRD,2015,17060106,57,http://wade.wrd.state.or.us
41063,DETAIL,ALLOCATION,17060106,OREGON-WRD,2015,17060106,57,http://wade.wrd.state.or.us
41021,DETAIL,ALLOCATION,17070101,OREGON-WRD,2015,17070101,57,http://wade.wrd.state.or.us
41049,DETAIL,ALLOCATION,17070101,OREGON-WRD,2015,17070101,57,http://wade.wrd.state.or.us
