DataCategory,DataType,Organization,OrganizationIdentifier,ReportIdentifier,ReportUnitIdentifier,ReportUnitName,State,WaDEURLAddress
DETAIL,ALLOCATION,,TCEQ,2016,15,Colorado-Lavaca,37,http://www.westernstateswater.org/TCEQ/
DETAIL,ALLOCATION,,TCEQ,2016,7,Neches-Trinity,37,http://www.westernstateswater.org/TCEQ/
DETAIL,ALLOCATION,,TCEQ,2016,10,San Jacinto,37,http://www.westernstateswater.org/TCEQ/
DETAIL,ALLOCATION,,TCEQ,2016,21,Nueces,37,http://www.westernstateswater.org/TCEQ/
DETAIL,ALLOCATION,,TCEQ,2016,5,Sabine,37,http://www.westernstateswater.org/TCEQ/
DETAIL,ALLOCATION,,TCEQ,2016,4,Cypress,37,http://www.westernstateswater.org/TCEQ/
DETAIL,ALLOCATION,,TCEQ,2016,2,Red,37,http://www.westernstateswater.org/TCEQ/
DETAIL,ALLOCATION,,TCEQ,2016,14,Colorado,37,http://www.westernstateswater.org/TCEQ/
DETAIL,ALLOCATION,,TCEQ,2016,,,37,http://www.westernstateswater.org/TCEQ/
DETAIL,ALLOCATION,,TCEQ,2016,6,Neches,37,http://www.westernstateswater.org/TCEQ/
DETAIL,ALLOCATION,,TCEQ,2016,11,San Jacinto-Brazos,37,http://www.westernstateswater.org/TCEQ/
DETAIL,ALLOCATION,,TCEQ,2016,18,Guadalupe,37,http://www.westernstateswater.org/TCEQ/
DETAIL,ALLOCATION,,TCEQ,2016,13,Brazos-Colorado,37,http://www.westernstateswater.org/TCEQ/
DETAIL,ALLOCATION,,TCEQ,2016,16,Lavaca,37,http://www.westernstateswater.org/TCEQ/
DETAIL,ALLOCATION,,TCEQ,2016,20,San Antonio-Nueces,37,http://www.westernstateswater.org/TCEQ/
DETAIL,ALLOCATION,,TCEQ,2016,22,Nueces-Rio Grande,37,http://www.westernstateswater.org/TCEQ/
DETAIL,ALLOCATION,,TCEQ,2016,8,Trinity,37,http://www.westernstateswater.org/TCEQ/
DETAIL,ALLOCATION,,TCEQ,2016,1,Canadian,37,http://www.westernstateswater.org/TCEQ/
DETAIL,ALLOCATION,,TCEQ,2016,19,San Antonio,37,http://www.westernstateswater.org/TCEQ/
DETAIL,ALLOCATION,,TCEQ,2016,3,Sulphur,37,http://www.westernstateswater.org/TCEQ/
DETAIL,ALLOCATION,,TCEQ,2016,23,Rio Grande,37,http://www.westernstateswater.org/TCEQ/
DETAIL,ALLOCATION,,TCEQ,2016,12,Brazos,37,http://www.westernstateswater.org/TCEQ/
DETAIL,ALLOCATION,,TCEQ,2016,17,Lavaca-Guadalupe,37,http://www.westernstateswater.org/TCEQ/
DETAIL,ALLOCATION,,TCEQ,2016,9,Trinity-San Jacinto,37,http://www.westernstateswater.org/TCEQ/
