CountyFIPS,DataCategory,DataType,HUC,Organization,OrganizationIdentifier,ReportIdentifier,ReportUnitIdentifier,ReportUnitName,State,WaDEURLAddress
,DETAIL,DIVERSION,16020204,,,2012,16020204,,46,http://www.water.utah.gov/DWRT
,DETAIL,RETURN,16020204,,,2012,16020204                           ,,46,http://www.water.utah.gov/DWRT
,DETAIL,DIVERSION,,,,2012,100,,46,http://www.water.utah.gov/DWRT
,DETAIL,RETURN,,,,2012,100                                ,,46,http://www.water.utah.gov/DWRT
,DETAIL,USE,,,,2012,100,,46,http://www.water.utah.gov/DWRT
49035,DETAIL,DIVERSION,,,,2012,49035,,46,http://www.water.utah.gov/DWRT
49035,DETAIL,RETURN,,,,2012,49035                              ,,46,http://www.water.utah.gov/DWRT
49035,DETAIL,RETURN,,,,2012,49035                              ,,46,http://www.water.utah.gov/DWRT
49035,DETAIL,USE,,,,2012,49035,,46,http://www.water.utah.gov/DWRT
49003,DETAIL,ALLOCATION,160203070804,,UTDWRT,2016,00-01-01,Grouse Creek,46,http://www.water.utah.gov/DWRT
49003,DETAIL,ALLOCATION,160203080203,,UTDWRT,2016,00-01-01,Grouse Creek,46,http://www.water.utah.gov/DWRT
49003,DETAIL,ALLOCATION,160203080204,,UTDWRT,2016,00-01-01,Grouse Creek,46,http://www.water.utah.gov/DWRT
49003,DETAIL,ALLOCATION,160203080205,,UTDWRT,2016,00-01-01,Grouse Creek,46,http://www.water.utah.gov/DWRT
49003,DETAIL,ALLOCATION,160203080207,,UTDWRT,2016,00-01-01,Grouse Creek,46,http://www.water.utah.gov/DWRT
49003,DETAIL,ALLOCATION,160203080209,,UTDWRT,2016,00-01-01,Grouse Creek,46,http://www.water.utah.gov/DWRT
49003,DETAIL,ALLOCATION,160203080210,,UTDWRT,2016,00-01-01,Grouse Creek,46,http://www.water.utah.gov/DWRT
49003,DETAIL,ALLOCATION,160203080304,,UTDWRT,2016,00-01-01,Grouse Creek,46,http://www.water.utah.gov/DWRT
49003,DETAIL,ALLOCATION,160203080305,,UTDWRT,2016,00-01-01,Grouse Creek,46,http://www.water.utah.gov/DWRT
49003,DETAIL,ALLOCATION,160203080306,,UTDWRT,2016,00-01-01,Grouse Creek,46,http://www.water.utah.gov/DWRT
49003,DETAIL,ALLOCATION,160203080307,,UTDWRT,2016,00-01-01,Grouse Creek,46,http://www.water.utah.gov/DWRT
49003,DETAIL,ALLOCATION,160203080308,,UTDWRT,2016,00-01-01,Grouse Creek,46,http://www.water.utah.gov/DWRT
49003,DETAIL,ALLOCATION,160203080309,,UTDWRT,2016,00-01-01,Grouse Creek,46,http://www.water.utah.gov/DWRT
49003,DETAIL,ALLOCATION,160203080901,,UTDWRT,2016,00-01-01,Grouse Creek,46,http://www.water.utah.gov/DWRT
49003,DETAIL,ALLOCATION,160203080903,,UTDWRT,2016,00-01-01,Grouse Creek,46,http://www.water.utah.gov/DWRT
49003,DETAIL,ALLOCATION,160203080904,,UTDWRT,2016,00-01-01,Grouse Creek,46,http://www.water.utah.gov/DWRT
49003,DETAIL,ALLOCATION,160203080905,,UTDWRT,2016,00-01-01,Grouse Creek,46,http://www.water.utah.gov/DWRT
49003,DETAIL,ALLOCATION,160203081001,,UTDWRT,2016,00-01-02,Park Valley,46,http://www.water.utah.gov/DWRT
49003,DETAIL,ALLOCATION,160203081002,,UTDWRT,2016,00-01-02,Park Valley,46,http://www.water.utah.gov/DWRT
49003,DETAIL,ALLOCATION,160203081003,,UTDWRT,2016,00-01-02,Park Valley,46,http://www.water.utah.gov/DWRT
49003,DETAIL,ALLOCATION,160203081005,,UTDWRT,2016,00-01-02,Park Valley,46,http://www.water.utah.gov/DWRT
49003,DETAIL,ALLOCATION,160203081401,,UTDWRT,2016,00-01-02,Park Valley,46,http://www.water.utah.gov/DWRT
49003,DETAIL,ALLOCATION,160203081402,,UTDWRT,2016,00-01-02,Park Valley,46,http://www.water.utah.gov/DWRT
49003,DETAIL,ALLOCATION,160203081403,,UTDWRT,2016,00-01-02,Park Valley,46,http://www.water.utah.gov/DWRT
49003,DETAIL,ALLOCATION,160203081405,,UTDWRT,2016,00-01-02,Park Valley,46,http://www.water.utah.gov/DWRT
49003,DETAIL,ALLOCATION,160203081406,,UTDWRT,2016,00-01-02,Park Valley,46,http://www.water.utah.gov/DWRT
49003,DETAIL,ALLOCATION,160203081407,,UTDWRT,2016,00-01-02,Park Valley,46,http://www.water.utah.gov/DWRT
49003,DETAIL,ALLOCATION,160203081408,,UTDWRT,2016,00-01-02,Park Valley,46,http://www.water.utah.gov/DWRT
49003,DETAIL,ALLOCATION,160203081409,,UTDWRT,2016,00-01-02,Park Valley,46,http://www.water.utah.gov/DWRT
49003,DETAIL,ALLOCATION,160203081501,,UTDWRT,2016,00-01-02,Park Valley,46,http://www.water.utah.gov/DWRT
49003,DETAIL,ALLOCATION,160203081507,,UTDWRT,2016,00-01-02,Park Valley,46,http://www.water.utah.gov/DWRT
