CountyFIPS,DataCategory,DataType,HUC,Organization,OrganizationIdentifier,ReportIdentifier,ReportUnitIdentifier,ReportUnitName,State,WaDEURLAddress
,SUMMARY,USE,,,utwre,2005_ConsumptiveUse,00-01-01,Grouse Creek,46,http://www.water.utah.gov/DWRE
,SUMMARY,USE,,,utwre,2005_ConsumptiveUse,00-01-02,Park Valley,46,http://www.water.utah.gov/DWRE
,SUMMARY,USE,,,utwre,2005_ConsumptiveUse,00-01-03,Curlew Valley,46,http://www.water.utah.gov/DWRE
,SUMMARY,USE,,,utwre,2005_ConsumptiveUse,00-02-01,North GSL Desert,46,http://www.water.utah.gov/DWRE
,SUMMARY,USE,,,utwre,2005_ConsumptiveUse,00-02-02,South GSL Desert,46,http://www.water.utah.gov/DWRE
,SUMMARY,USE,,,utwre,2005_ConsumptiveUse,00-02-03,Deep Creek,46,http://www.water.utah.gov/DWRE
,SUMMARY,USE,,,utwre,2005_ConsumptiveUse,00-03-01,Snake Valley,46,http://www.water.utah.gov/DWRE
,SUMMARY,USE,,,utwre,2005_ConsumptiveUse,00-03-02,Tule Valley,46,http://www.water.utah.gov/DWRE
,SUMMARY,USE,,,utwre,2005_ConsumptiveUse,00-04-00,Skull Valley,46,http://www.water.utah.gov/DWRE
,SUMMARY,USE,,,utwre,2005_ConsumptiveUse,00-05-01,Rush Valley,46,http://www.water.utah.gov/DWRE
,SUMMARY,USE,,,utwre,2005_ConsumptiveUse,00-05-02,Tooele Valley,46,http://www.water.utah.gov/DWRE
,SUMMARY,USE,,,utwre,2005_ConsumptiveUse,00-06-01,Great Salt Lake,46,http://www.water.utah.gov/DWRE
,SUMMARY,USE,,,utwre,2005_ConsumptiveUse,00-06-02,Antelope Island,46,http://www.water.utah.gov/DWRE
,SUMMARY,USE,,,utwre,2005_ConsumptiveUse,00-07-01,Hansel Valley,46,http://www.water.utah.gov/DWRE
,SUMMARY,USE,,,utwre,2005_ConsumptiveUse,00-07-02,Promontory Point,46,http://www.water.utah.gov/DWRE
,SUMMARY,USE,,,utwre,2005_ConsumptiveUse,000-01-01,Lynn,46,http://www.water.utah.gov/DWRE
,SUMMARY,USE,,,utwre,2005_ConsumptiveUse,000-01-02,Yost,46,http://www.water.utah.gov/DWRE
,SUMMARY,USE,,,utwre,2005_ConsumptiveUse,000-01-03,Clear Creek,46,http://www.water.utah.gov/DWRE
,SUMMARY,USE,,,utwre,2005_ConsumptiveUse,000-02-00,Goose Creek,46,http://www.water.utah.gov/DWRE
,SUMMARY,USE,,,utwre,2005_ConsumptiveUse,01-01-01,Bear Lake,46,http://www.water.utah.gov/DWRE
,SUMMARY,USE,,,utwre,2005_ConsumptiveUse,01-01-04,Cache Valley,46,http://www.water.utah.gov/DWRE
,SUMMARY,USE,,,utwre,2005_ConsumptiveUse,01-01-06,Tremonton,46,http://www.water.utah.gov/DWRE
,SUMMARY,USE,,,utwre,2005_ConsumptiveUse,01-01-07,Brigham City,46,http://www.water.utah.gov/DWRE
,SUMMARY,USE,,,utwre,2005_ConsumptiveUse,01-03-01,Evanston,46,http://www.water.utah.gov/DWRE
,SUMMARY,USE,,,utwre,2005_ConsumptiveUse,01-03-02,Randolph,46,http://www.water.utah.gov/DWRE
,SUMMARY,USE,,,utwre,2005_ConsumptiveUse,02-01-01,Oakley,46,http://www.water.utah.gov/DWRE
,SUMMARY,USE,,,utwre,2005_ConsumptiveUse,02-01-02,Kamas Valley,46,http://www.water.utah.gov/DWRE
,SUMMARY,USE,,,utwre,2005_ConsumptiveUse,02-01-03,Chalk Creek,46,http://www.water.utah.gov/DWRE
,SUMMARY,USE,,,utwre,2005_ConsumptiveUse,02-01-04,Echo,46,http://www.water.utah.gov/DWRE
,SUMMARY,USE,,,utwre,2005_ConsumptiveUse,02-01-05,Lost Creek,46,http://www.water.utah.gov/DWRE
,SUMMARY,USE,,,utwre,2005_ConsumptiveUse,02-01-06,East Canyon,46,http://www.water.utah.gov/DWRE
,SUMMARY,USE,,,utwre,2005_ConsumptiveUse,02-01-07,Morgan,46,http://www.water.utah.gov/DWRE
,SUMMARY,USE,,,utwre,2005_ConsumptiveUse,02-01-08,Ogden Valley,46,http://www.water.utah.gov/DWRE
,SUMMARY,USE,,,utwre,2005_ConsumptiveUse,02-01-09,East Shore,46,http://www.water.utah.gov/DWRE
,SUMMARY,USE,,,utwre,2005_ConsumptiveUse,03-01-01,Salt Lake Valley,46,http://www.water.utah.gov/DWRE
,SUMMARY,USE,,,utwre,2005_ConsumptiveUse,03-01-02,City Creek,46,http://www.water.utah.gov/DWRE
,SUMMARY,USE,,,utwre,2005_ConsumptiveUse,03-01-03,Emigration Creek,46,http://www.water.utah.gov/DWRE
,SUMMARY,USE,,,utwre,2005_ConsumptiveUse,03-01-04,Parley's Creek,46,http://www.water.utah.gov/DWRE
,SUMMARY,USE,,,utwre,2005_ConsumptiveUse,03-01-05,Millcreek,46,http://www.water.utah.gov/DWRE
,SUMMARY,USE,,,utwre,2005_ConsumptiveUse,03-01-06,Big Cottonwood Creek,46,http://www.water.utah.gov/DWRE
,SUMMARY,USE,,,utwre,2005_ConsumptiveUse,03-01-07,Little Cottonwood Creek,46,http://www.water.utah.gov/DWRE
,SUMMARY,USE,,,utwre,2005_ConsumptiveUse,04-01-01,Salt Creek,46,http://www.water.utah.gov/DWRE
,SUMMARY,USE,,,utwre,2005_ConsumptiveUse,04-01-02,Nephi,46,http://www.water.utah.gov/DWRE
,SUMMARY,USE,,,utwre,2005_ConsumptiveUse,04-01-03,Soldier Summit,46,http://www.water.utah.gov/DWRE
,SUMMARY,USE,,,utwre,2005_ConsumptiveUse,04-01-04,Diamond Fork,46,http://www.water.utah.gov/DWRE
,SUMMARY,USE,,,utwre,2005_ConsumptiveUse,04-01-05,Hobble Creek,46,http://www.water.utah.gov/DWRE
,SUMMARY,USE,,,utwre,2005_ConsumptiveUse,04-01-06,Woodland,46,http://www.water.utah.gov/DWRE
,SUMMARY,USE,,,utwre,2005_ConsumptiveUse,04-01-07,Provo River Reservoirs,46,http://www.water.utah.gov/DWRE
,SUMMARY,USE,,,utwre,2005_ConsumptiveUse,04-01-08,Wallsburg,46,http://www.water.utah.gov/DWRE
,SUMMARY,USE,,,utwre,2005_ConsumptiveUse,04-01-09,Vivian Park,46,http://www.water.utah.gov/DWRE
