CountFIPS,DataCategory,DataType,Organization,OrganizationIdentifier,ReportIdentifier,ReportUnitIdentifier,ReportUnitName,State,WaDEURLAddress
     ,SUMMARY,AVAILABILITY,,WYWDC,2014,1,Bear River Basin,47,http://www.westernstateswater.org/Wyoming
     ,SUMMARY,AVAILABILITY,,WYWDC,2014,2,Green River Basin,47,http://www.westernstateswater.org/Wyoming
     ,SUMMARY,AVAILABILITY,,WYWDC,2014,3,Northeast Wyoming Basin,47,http://www.westernstateswater.org/Wyoming
     ,SUMMARY,AVAILABILITY,,WYWDC,2014,4,Powder/Tongue River Basin,47,http://www.westernstateswater.org/Wyoming
     ,SUMMARY,AVAILABILITY,,WYWDC,2014,6,Wind/Bighorn River Basin,47,http://www.westernstateswater.org/Wyoming
     ,SUMMARY,AVAILABILITY,,WYWDC,2014,7,Snake/Salt River Basin,47,http://www.westernstateswater.org/Wyoming
     ,SUMMARY,SUPPLY,,WYWDC,2014,1,Bear River Basin,47,http://www.westernstateswater.org/Wyoming
     ,SUMMARY,SUPPLY,,WYWDC,2014,2,Green River Basin,47,http://www.westernstateswater.org/Wyoming
     ,SUMMARY,SUPPLY,,WYWDC,2014,3,Northeast Wyoming Basin,47,http://www.westernstateswater.org/Wyoming
     ,SUMMARY,SUPPLY,,WYWDC,2014,4,Powder/Tongue River Basin,47,http://www.westernstateswater.org/Wyoming
     ,SUMMARY,SUPPLY,,WYWDC,2014,5,Platte River Basin,47,http://www.westernstateswater.org/Wyoming
     ,SUMMARY,SUPPLY,,WYWDC,2014,6,Wind/Bighorn River Basin,47,http://www.westernstateswater.org/Wyoming
     ,SUMMARY,SUPPLY,,WYWDC,2014,7,Snake/Salt River Basin,47,http://www.westernstateswater.org/Wyoming
     ,SUMMARY,USE,,WYWDC,2014,1,Bear River Basin,47,http://www.westernstateswater.org/Wyoming
     ,SUMMARY,USE,,WYWDC,2014,2,Green River Basin,47,http://www.westernstateswater.org/Wyoming
     ,SUMMARY,USE,,WYWDC,2014,3,Northeast Wyoming Basin,47,http://www.westernstateswater.org/Wyoming
     ,SUMMARY,USE,,WYWDC,2014,4,Powder/Tongue River Basin,47,http://www.westernstateswater.org/Wyoming
     ,SUMMARY,USE,,WYWDC,2014,5,Platte River Basin,47,http://www.westernstateswater.org/Wyoming
     ,SUMMARY,USE,,WYWDC,2014,6,Wind/Bighorn River Basin,47,http://www.westernstateswater.org/Wyoming
     ,SUMMARY,USE,,WYWDC,2014,7,Snake/Salt River Basin,47,http://www.westernstateswater.org/Wyoming
